algorithm,thoughtput,dataset,mb
ARF,10,Airlines,250
ARF,50,Airlines,500
ARF,90,Airlines,250
ARF,10,GMSC,500
ARF,50,GMSC,500
ARF,90,GMSC,2000
ARF,10,Electricity,500
ARF,50,Electricity,500
ARF,90,Electricity,500
ARF,10,Covertype,500
ARF,50,Covertype,2000
ARF,90,Covertype,2000
LBag,10,Airlines,2000
LBag,50,Airlines,50 
LBag,90,Airlines,50
LBag,10,GMSC,250
LBag,50,GMSC,500
LBag,90,GMSC,50
LBag,10,Electricity,500
LBag,50,Electricity,500
LBag,90,Electricity,250
LBag,10,Covertype,500
LBag,50,Covertype,500
LBag,90,Covertype,500
SRP,10,Airlines,250
SRP,50,Airlines,500
SRP,90,Airlines,500
SRP,10,GMSC,500
SRP,50,GMSC,500
SRP,90,GMSC,500
SRP,10,Electricity,250
SRP,50,Electricity,500
SRP,90,Electricity,500
SRP,10,Covertype,25
SRP,50,Covertype,500
SRP,90,Covertype,500
OzaBagAdwin,10,Airlines,500
OzaBagAdwin,50,Airlines,500
OzaBagAdwin,90,Airlines,25
OzaBagAdwin,10,GMSC,250
OzaBagAdwin,50,GMSC,500
OzaBagAdwin,90,GMSC,250
OzaBagAdwin,10,Electricity,250
OzaBagAdwin,50,Electricity,250
OzaBagAdwin,90,Electricity,250
OzaBagAdwin,10,Covertype,500
OzaBagAdwin,50,Covertype,500
OzaBagAdwin,90,Covertype,250
OzaBagASHT,10,Airlines,250
OzaBagASHT,50,Airlines,250
OzaBagASHT,90,Airlines,500
OzaBagASHT,10,GMSC,500
OzaBagASHT,50,GMSC,500
OzaBagASHT,90,GMSC,500
OzaBagASHT,10,Electricity,250
OzaBagASHT,50,Electricity,500
OzaBagASHT,90,Electricity,250
OzaBagASHT,10,Covertype,500
OzaBagASHT,50,Covertype,500
OzaBagASHT,90,Covertype,500
OzaBag,10,Airlines,500
OzaBag,50,Airlines,500
OzaBag,90,Airlines,250
OzaBag,10,GMSC,500
OzaBag,50,GMSC,500
OzaBag,90,GMSC,2000
OzaBag,10,Electricity,500
OzaBag,50,Electricity,500
OzaBag,90,Electricity,250
OzaBag,10,Covertype,500
OzaBag,50,Covertype,500
OzaBag,90,Covertype,500